"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\mia-sql\processor(_total)\% processor time","\\mia-sql\logicaldisk(_total)\disk reads/sec","\\mia-sql\logicaldisk(_total)\disk writes/sec","\\mia-sql\sqlserver:databases(_total)\log bytes flushed/sec"
"12/19/2017 15:49:56.633"," ","0","16.007704508179788","799104.609048335"
"12/19/2017 15:49:57.648","31.542633856949422","0","68.917227652899768","930532.22215133603"
"12/19/2017 15:49:58.664","36.532798547523214","0","295.41751307887188","969536.64452381118"
"12/19/2017 15:49:59.664","25.781346484249568","0","23.998464098297706","1105849.2256495585"
"12/19/2017 15:50:00.680","40.385361789409572","0","72.854824160943792","802489.98098489083"
"01/03/2018 07:49:32.779","99.999946978393837","0","36.432638169057093","846970.21749989584"
"01/03/2018 07:49:33.779","29.301404710098556","0","190.97181256046608","846211.09924175194"
"01/03/2018 07:49:34.795","2.6898499546179289","0.98470118996215295","10.831713089583683","11595.841212994314"
"01/03/2018 07:49:35.795","30.470536907201485","0","28.993922873765658","1118997.4581327753"
"01/03/2018 07:49:36.810","27.303094733776135","0","20.675200864499065","858450.09242799308"
"12/19/2017 15:49:56.695"," ","0","19.99771026217498","863645.11263460328"
"12/19/2017 15:49:57.710","29.23063683762215","0","16.742929067103688","847152.81566822995"
"12/19/2017 15:49:58.710","26.953441404857813","0","17.003317347214441","819359.85710812185"
"12/19/2017 15:49:59.726","26.922925822172772","0","24.614647842171667","846901.4195168952"
"12/19/2017 15:50:00.726","26.172876666165003","0","20.001490111013268","868928.73519077164"
"01/03/2018 07:49:42.838","99.999943279660158","0","16.999682105944618","798705.06421529909"
"01/03/2018 07:49:43.839","28.193740132571087","0","15.984207602888347","819925.91319776059"
"01/03/2018 07:49:44.853","29.161941665511904","0","25.625374955907109","787211.51864546642"
"01/03/2018 07:49:45.869","33.461454920611352","4.9233309366558329","47.263976991896001","1331961.8902676185"
"01/03/2018 07:49:46.884","26.92309131360663","0","14.766350558478145","786278.63453784422"
"12/19/2017 15:49:56.789"," ","0","108.32426692044744","739157.52869411348"
"12/19/2017 15:49:57.804","33.845880273424889","0","317.03354273956757","795474.57262992312"
"12/19/2017 15:49:58.820","26.152690045806004","0","16.73882577531041","725953.02750710933"
"12/19/2017 15:49:59.820","28.125675618649183","0","28.001621293872915","983096.92131174402"
"12/19/2017 15:50:00.836","35.384112772421815","0","102.39983868086952","705771.19583122374"
"01/03/2018 07:49:52.947","99.999944513148904","0","49.999300009799867","806388.71055805217"
"01/03/2018 07:49:53.963","30.000551380272199","0","149.66063957671244","725932.87070472736"
"01/03/2018 07:49:54.978","28.074035803822493","0.98437956967453366","30.515766659910543","706611.28022205248"
"01/03/2018 07:49:55.994","26.154522351204569","0","18.711811900200257","709457.36336388742"
"01/03/2018 07:49:57.025","28.029779610518379","0","19.393179651434746","835551.26664613571"
"12/19/2017 15:49:56.883"," ","0","13.000859356803485","675884.67597708211"
"12/19/2017 15:49:57.898","30.767117568634706","0","14.769588511386958","658904.82122693129"
"12/19/2017 15:49:58.914","28.077066868341738","0","25.599321972419883","695167.31076858123"
"12/19/2017 15:49:59.929","43.463285759168727","0","296.35650841229119","1028366.9299218269"
"12/19/2017 15:50:00.945","42.307686627218374","0","198.89657693083285","736035.49102641665"
"01/03/2018 07:50:03.109","99.999945746620412","0","123.0779046705505","604952.51703668979"
"01/03/2018 07:50:04.124","26.538717007378487","0","79.749511706539124","745557.50914510293"
"01/03/2018 07:50:05.124","27.735536231420298","0","62.002858331769097","729633.63611062476"
"01/03/2018 07:50:06.124","28.516249057008302","0","24.999957500072249","941566.39933712105"
"01/03/2018 07:50:07.140","27.305922153225261","0","11.814752944162592","604915.35074112471"
"12/19/2017 15:50:57.008"," ","0","13.785907611967666","639792.15577918058"
"12/19/2017 15:50:58.023","28.462003348458243","0","14.768166370679793","659345.46305191831"
"12/19/2017 15:50:59.039","25.383917437258486","0","14.768737811483756","665420.25083421217"
"12/19/2017 15:51:00.055","27.307561239991486","0","20.677537931466372","854514.02468779881"
"12/19/2017 15:51:01.055","27.343931640170904","0","18.998056498820169","614337.15330921649"
"01/03/2018 07:50:13.193","99.999947594098614","0","306.80269518672543","685639.06551696605"
"01/03/2018 07:50:14.208","84.23025812323921","0","532.14348677559383","484368.82707396278"
"01/03/2018 07:50:15.208","91.79688410155795","1.9998040192061179","575.94355753136199","552905.81523010752"
"01/03/2018 07:50:16.224","53.461464804624946","0","423.39545430824569","908957.17699603888"
"01/03/2018 07:50:17.224","45.703401482992589","0.99997510061999451","130.99673818121929","675823.17200301704"
"12/19/2017 15:50:57.071"," ","0","49.224885266637415","550436.60504236096"
"12/19/2017 15:50:58.086","64.22860453616191","0.98474560131372946","283.60673317835409","618640.82063971634"
"12/19/2017 15:50:59.086","60.547284253515343","0","169.98789686174342","605652.8775151209"
"12/19/2017 15:51:00.102","60.384195138685058","0","64.009163748833558","605034.3108812822"
"12/19/2017 15:51:01.117","60.769265533697002","0","63.990467192432035","604857.58527738834"
"01/03/2018 07:50:23.293","99.999968556708239","0","62.007062604430644","553022.98931848339"
"01/03/2018 07:50:24.293","59.375312810091366","0","73.996773740664906","496618.34744005167"
"01/03/2018 07:50:25.293","59.378765588429957","0","45.99474280089786","552896.80389531481"
"01/03/2018 07:50:26.309","56.534549271973944","0","59.044872430108832","749224.32259047963"
"01/03/2018 07:50:27.325","61.550916675361279","0","228.51964579454901","605183.06196625391"
"12/19/2017 15:50:57.164"," ","0","93.101444788952108","476679.39731943485"
"12/19/2017 15:50:58.179","62.307729420081806","0","326.94935180321431","510765.79219532508"
"12/19/2017 15:50:59.195","56.924506234230066","0","65.970575351049618","544464.02009128954"
"12/19/2017 15:51:00.211","61.921735867389671","0","103.30812287172968","757136.37754494639"
"12/19/2017 15:51:01.211","56.64075441366132","0","70.050085811355117","553355.64928924188"
"01/03/2018 07:50:33.420","99.99996609083621","0","38.401958618049392","483982.83846009331"
"01/03/2018 07:50:34.420","58.203171796828201","0","62.000390602460797","552963.48366994713"
"01/03/2018 07:50:35.420","59.765644140613517","0.99996910095478042","243.99246063296644","449522.10976680816"
"01/03/2018 07:50:36.436","36.154097608477109","0","300.31032395016189","544457.69420157874"
"12/19/2017 15:50:56.242"," ","0","560.162429384093","666855.15951929591"
"12/19/2017 15:50:57.258","28.841905923632805","0","353.49181976604154","544475.86812766106"
"12/19/2017 15:50:58.258","33.593756640624342","0","371.00267121923275","552963.9813406656"
"12/19/2017 15:50:59.258","31.641057497232016","0","340.00629011636715","574986.63725278922"
"12/19/2017 15:51:00.258","34.767456511217688","0","289.00910378676929","737303.22505158908"
"01/03/2018 07:50:42.498","99.99995129449573","0","247.26524637509149","476611.03489523515"
"01/03/2018 07:50:43.514","30.766613108128837","0","368.26257949031475","647827.04892584996"
"01/03/2018 07:50:44.514","29.298715303530575","0","228.00127680715013","552963.09659334098"
"01/03/2018 07:50:45.514","26.562984684301082","0","12.998759918303794","552907.25264809735"
"01/03/2018 07:50:46.529","28.459319599820198","0","21.659252310796095","565062.32646754722"
"12/19/2017 15:50:56.305"," ","1.0001086117952409","30.00325835385723","532537.83360872988"
"12/19/2017 15:50:57.336","29.918719418198069","0","236.59438288088376","626532.9546401056"
"12/19/2017 15:50:58.336","33.203510739988786","0","96.012001500187523","553029.12864108011"
"12/19/2017 15:50:59.336","25.782919884302601","0","17.000748032913449","491541.62783162459"
"12/19/2017 15:51:00.336","28.125344998344005","0","22.000404807448458","849423.62939478084"
"01/03/2018 07:50:52.558","99.999942047071656","0","28.998929939485233","552939.5965288881"
