Id,CaptureTime,ServerName,InstanceName,CpuPercent,BatchRequestsPerSec,UserConnections,BlockedSessions,DeadlocksPerMin,AvgQueryDurationMs,AvgLogicalReads,TempdbUsedMb,SignalWaitTimeMs,PageLifeExpectancy,hour,day_of_week,is_weekend,CpuPercent_diff,BatchRequestsPerSec_diff,UserConnections_diff,BlockedSessions_diff,DeadlocksPerMin_diff,AvgQueryDurationMs_diff,AvgLogicalReads_diff,TempdbUsedMb_diff,SignalWaitTimeMs_diff,PageLifeExpectancy_diff,CpuPercent_rolling_mean_3,CpuPercent_rolling_std_3,BatchRequestsPerSec_rolling_mean_3,BatchRequestsPerSec_rolling_std_3,AvgQueryDurationMs_rolling_mean_3,AvgQueryDurationMs_rolling_std_3,AvgLogicalReads_rolling_mean_3,AvgLogicalReads_rolling_std_3,TempdbUsedMb_rolling_mean_3,TempdbUsedMb_rolling_std_3,SignalWaitTimeMs_rolling_mean_3,SignalWaitTimeMs_rolling_std_3,PageLifeExpectancy_rolling_mean_3,PageLifeExpectancy_rolling_std_3,duration_per_batch,reads_per_batch,signal_wait_per_connection,AnomalyFlag,AnomalyScore
472,2026-03-29 10:06:46,deweloper,MSSQLSERVER,0.0,24206.0,5,0,0,22.35,232.5,8.0,254915618.0,35653,10,6,1,-7.5,21.0,0.0,0.0,0.0,22.23,232.5,0.0,101566.0,61.0,2.5,4.330127018922194,24186.33333333333,19.03505538051846,10.636666666666668,11.16320891739184,155.1,134.32062388181495,8.0,0.0,254797741.66666663,126820.57886802912,35591.333333333336,62.0026881137898,0.0009233247955052,0.0096050565975378,50983123.6,1,0.5684974043892045
291,2026-03-29 05:52:53,deweloper,MSSQLSERVER,0.0,18979.0,6,0,0,118.03,30.0,8.0,223497104.0,20420,5,6,1,0.0,17.0,0.0,0.0,0.0,112.39,-202.8,0.0,123212.0,61.0,0.0,0.0,18960.666666666668,19.03505538055587,43.126666666666665,64.86819893702409,165.20000000000002,117.0866345916561,8.0,0.0,223374230.3333333,122704.84984035646,20359.0,60.99999999999496,0.0062189788713841,0.0015806944517624,37249517.333333336,1,0.5642811066965605
376,2026-03-29 08:26:59,deweloper,MSSQLSERVER,0.0,20571.0,6,0,0,14.97,232.5,8.0,242444091.0,29666,8,6,1,0.0,90.0,0.0,0.0,0.0,9.28,-0.3000000000000113,0.0,8486611.0,4122.0,0.0,0.0,20505.33333333333,57.50072463318072,8.773333333333328,5.366491715574834,232.7,0.1732050807568984,8.0,0.0,236745646.66666663,4935375.227797413,26898.0,2397.346032595211,0.0007277234942394,0.0113023187983082,40407348.5,1,0.5525762656211245
432,2026-03-29 09:25:51,deweloper,MSSQLSERVER,0.0,22986.0,5,0,0,127.67,232.8,8.0,249779693.0,33197,9,6,1,0.0,17.0,0.0,0.0,0.0,119.6,0.0,0.0,166554.0,67.0,0.0,0.0,22969.0,17.000000000178233,48.03333333333333,68.96752883301917,232.8,0.0,8.0,0.0,249627914.66666663,144956.39598308955,33131.666666666664,64.516147849483,0.005554250413295,0.0101279039415296,49955938.6,1,0.5394665753189598
383,2026-03-29 08:35:27,deweloper,MSSQLSERVER,0.0,20694.0,6,0,0,133.51,232.8,8.0,243564520.0,30173,8,6,1,0.0,17.0,0.0,0.0,0.0,125.57,0.0,0.0,128168.0,61.0,0.0,0.0,20677.0,17.000000000220098,49.40999999999999,72.83504582273562,232.8,0.0,8.0,0.0,243366019.0,241475.7725426152,30085.666666666668,103.05500149597898,0.0064516284913501,0.011249637576109,40594086.66666666,1,0.5311687868383076
398,2026-03-29 08:50:52,deweloper,MSSQLSERVER,0.0,22220.0,9,0,0,5.77,168.86,8.0,245516754.0,31099,8,6,1,0.0,1133.0,0.0,0.0,0.0,-1.1300000000000008,-63.94,0.0,133422.0,63.0,0.0,0.0,21459.0,659.1001441359329,5.993333333333324,0.818189057206408,190.1733333333333,36.91577621198383,8.0,0.0,245378665.0,140480.65409536829,31036.666666666668,62.00268811378848,0.0002596759675967,0.0075994599459946,27279639.33333333,1,0.5265345268633742
27,2026-03-29 00:24:55,deweloper,MSSQLSERVER,0.0,14016.0,5,0,0,71.1,232.8,8.0,190825611.0,4343,0,6,1,0.0,17.0,0.0,0.0,0.0,64.5,216.6,0.0,121451.0,62.0,0.0,0.0,13999.0,17.000000000221704,28.48666666666666,36.90878666839826,160.6,125.05406830647296,8.0,0.0,190704569.66666663,120837.02083512486,4281.333333333333,61.50067750304327,0.0050727739726027,0.0166095890410958,38165122.2,1,0.5178689155799013
484,2026-03-29 10:18:57,deweloper,MSSQLSERVER,0.0,24719.0,9,0,0,7.77,179.86,8.0,256421261.0,36384,10,6,1,0.0,144.0,2.0,0.0,0.0,-0.7699999999999996,-52.94,0.0,122671.0,61.0,0.0,0.0,24617.33333333333,88.45526176174869,10.473333333333333,4.033885637116734,231.5133333333333,51.02216903791264,8.0,0.0,256299280.3333333,121636.969225742,36323.0,61.00000000001462,0.0003143331040899,0.007276184311663,28491251.222222224,1,0.5022692914208362
44,2026-03-29 00:42:13,deweloper,MSSQLSERVER,0.0,14451.0,7,0,0,13.17,206.17,8.0,192925677.0,5380,0,6,1,0.0,21.0,0.0,0.0,0.0,-66.81,-1311.36,0.0,120370.0,60.0,0.0,0.0,14388.0,91.53687781439493,34.07333333333333,39.80915765666656,652.1666666666666,749.5449040806917,8.0,0.0,192804415.3333333,121709.94971783452,5319.666666666667,60.500688701314,0.0009113556155283,0.0142668327451387,27560811.0,1,0.5011221167890502
17,2026-03-29 00:14:45,deweloper,MSSQLSERVER,0.0,13836.0,5,0,0,7.75,232.8,8.0,189611804.0,3732,0,6,1,0.0,17.0,-1.0,0.0,0.0,0.29,0.0,0.0,121548.0,60.0,0.0,0.0,13624.666666666666,351.42045093212874,23.293333333333333,27.17337728979109,1937.9166666666667,2953.348699499151,8.0,0.0,187938470.0,2793696.9663651725,2906.333333333333,1378.4615821027924,0.0005601329864122,0.0168256721595836,37922360.8,1,0.49248855230970634
